iter	Passed	Remaining
778	1396	396
779	1398	394
780	1399	392
781	1401	390
782	1403	389
783	1405	387
784	1407	385
785	1409	383
786	1411	381
787	1413	380
788	1415	378
789	1417	376
790	1419	375
791	1421	373
792	1423	371
793	1425	369
794	1427	368
795	1429	366
796	1430	364
797	1432	362
798	1434	360
799	1435	358
800	1437	357
801	1439	355
802	1440	353
803	1442	351
804	1444	349
805	1445	348
806	1447	346
807	1449	344
808	1451	342
809	1453	340
810	1455	339
811	1456	337
812	1458	335
813	1460	333
814	1461	331
815	1463	329
816	1465	328
817	1466	326
818	1468	324
819	1470	322
820	1472	321
821	1474	319
822	1476	317
823	1477	315
824	1479	313
825	1481	312
826	1483	310
827	1485	308
828	1486	306
829	1488	304
830	1490	303
831	1492	301
832	1493	299
833	1495	297
834	1497	295
835	1498	293
836	1500	292
837	1501	290
838	1503	288
839	1505	286
840	1506	284
841	1508	283
842	1510	281
843	1511	279
844	1513	277
845	1515	275
846	1516	273
847	1518	272
848	1519	270
849	1521	268
850	1523	266
851	1524	264
852	1526	263
853	1528	261
854	1529	259
855	1531	257
856	1532	255
857	1534	253
858	1536	252
859	1537	250
860	1539	248
861	1541	246
862	1542	244
863	1544	243
864	1546	241
865	1547	239
866	1549	237
867	1551	235
868	1552	234
869	1554	232
870	1555	230
871	1557	228
872	1558	226
873	1560	224
874	1562	223
875	1563	221
876	1565	219
877	1566	217
878	1568	215
879	1570	214
880	1572	212
881	1574	210
882	1575	208
883	1577	207
884	1579	205
885	1581	203
886	1582	201
887	1584	199
888	1585	198
889	1587	196
890	1589	194
891	1591	192
892	1593	190
893	1595	189
894	1598	187
895	1601	185
896	1603	184
897	1604	182
898	1606	180
899	1608	178
900	1609	176
901	1611	175
902	1613	173
903	1614	171
904	1616	169
905	1618	167
906	1619	166
907	1621	164
908	1623	162
909	1625	160
910	1626	158
911	1628	157
912	1630	155
913	1631	153
914	1633	151
915	1635	149
916	1636	148
917	1638	146
918	1640	144
919	1642	142
920	1643	140
921	1645	139
922	1647	137
923	1648	135
924	1650	133
925	1651	132
926	1653	130
927	1655	128
928	1657	126
929	1658	124
930	1660	123
931	1662	121
932	1663	119
933	1665	117
934	1667	115
935	1668	114
936	1670	112
937	1672	110
938	1674	108
939	1676	107
940	1678	105
941	1680	103
942	1682	101
943	1684	99
944	1686	98
945	1688	96
946	1690	94
947	1692	92
948	1694	91
949	1696	89
950	1698	87
951	1700	85
952	1702	83
953	1703	82
954	1705	80
955	1707	78
956	1709	76
957	1710	75
958	1712	73
959	1714	71
960	1716	69
961	1717	67
962	1719	66
963	1721	64
964	1722	62
965	1724	60
966	1726	58
967	1728	57
968	1729	55
969	1731	53
970	1732	51
971	1734	49
972	1736	48
973	1737	46
974	1739	44
975	1741	42
976	1743	41
977	1745	39
978	1747	37
979	1748	35
980	1750	33
981	1752	32
982	1755	30
983	1758	28
984	1761	26
985	1762	25
986	1764	23
987	1768	21
988	1770	19
989	1772	17
990	1773	16
991	1775	14
992	1777	12
993	1779	10
994	1781	8
995	1783	7
996	1785	5
997	1788	3
998	1789	1
999	1792	0
